Late_delivery_risk,risk_proba,risk_tier,Shipping Mode,Order Region,Category Name
0,0.39657113,LOW,Standard Class,Western Europe,Women's Apparel
0,0.3308018,LOW,Standard Class,South America,Women's Apparel
0,0.84448904,HIGH,First Class,Southeast Asia,Fishing
0,0.33905217,LOW,Standard Class,Northern Europe,Cleats
1,0.802837,HIGH,Second Class,East Africa,Cardio Equipment
0,0.41925415,LOW,Standard Class,West Africa,Men's Footwear
0,0.37635222,LOW,Standard Class,Caribbean,Electronics
0,0.39723867,LOW,Standard Class,Western Europe,Men's Footwear
1,0.9911027,HIGH,First Class,South Asia,Women's Apparel
1,0.396118,LOW,Standard Class,Western Europe,Water Sports
1,0.9911937,HIGH,First Class,North Africa,Water Sports
1,0.3345788,LOW,Standard Class,Western Europe,Women's Apparel
1,0.65683657,HIGH,Second Class,Oceania,Cardio Equipment
0,0.34100676,LOW,Standard Class,Central America,Electronics
0,0.39505318,LOW,Standard Class,West Asia,Fishing
0,0.42095223,LOW,Standard Class,South America,Water Sports
1,0.79689556,HIGH,Second Class,East of USA,Water Sports
1,0.99164444,HIGH,First Class,West Asia,Fishing
0,0.6869265,HIGH,Second Class,Eastern Europe,Indoor/Outdoor Games
1,0.80541986,HIGH,Second Class,South America,Trade-In
1,0.9911027,HIGH,First Class,West Africa,Cardio Equipment
0,0.396626,LOW,Standard Class,West Asia,Fishing
0,0.33828032,LOW,Standard Class,US Center ,Men's Footwear
1,0.9906093,HIGH,First Class,Eastern Europe,Cardio Equipment
1,0.3955298,LOW,Standard Class,Southern Europe,Water Sports
1,0.8129705,HIGH,Second Class,Central America,Girls' Apparel
1,0.39022264,LOW,Standard Class,South America,Indoor/Outdoor Games
1,0.3527061,LOW,Standard Class,Central America,Indoor/Outdoor Games
0,0.5652815,MEDIUM,Second Class,Eastern Europe,Cleats
1,0.39377767,LOW,Standard Class,South Asia,Cleats
1,0.8096266,HIGH,Second Class,South Asia,Shop By Sport
1,0.4343566,LOW,Standard Class,Central America,Fishing
1,0.9906138,HIGH,First Class,South Asia,Cardio Equipment
0,0.39810187,LOW,Standard Class,US Center ,Women's Apparel
0,0.26220423,LOW,Standard Class,South Asia,Men's Footwear
0,0.4263219,LOW,Standard Class,South Asia,Electronics
0,0.39489606,LOW,Standard Class,Southeast Asia,Women's Apparel
0,0.3478588,LOW,Standard Class,Caribbean,Women's Apparel
1,0.3399956,LOW,Standard Class,Eastern Europe,Cleats
1,0.9907476,HIGH,First Class,South America,Women's Apparel
0,0.3248101,LOW,Standard Class,West of USA ,Shop By Sport
0,0.39377767,LOW,Standard Class,Central America,Cardio Equipment
1,0.39377767,LOW,Standard Class,Caribbean,Cardio Equipment
1,0.844161,HIGH,First Class,Western Europe,Fishing
1,0.99118865,HIGH,First Class,Western Europe,Men's Footwear
1,0.3990495,LOW,Standard Class,Central Asia,Women's Apparel
1,0.34047607,LOW,Standard Class,Western Europe,Indoor/Outdoor Games
1,0.69175977,HIGH,Second Class,Western Europe,Women's Apparel
1,0.8408989,HIGH,First Class,Central America,Cleats
0,0.38089377,LOW,Standard Class,Central America,Women's Apparel
1,0.40071616,LOW,Standard Class,South America,Fishing
1,0.34356815,LOW,Standard Class,South America,Fishing
1,0.99144846,HIGH,First Class,Eastern Asia,Toys
1,0.4097688,LOW,Standard Class,Western Europe,Women's Apparel
1,0.78352404,HIGH,Second Class,West of USA ,Women's Apparel
1,0.8060649,HIGH,Second Class,Central America,Men's Footwear
0,0.39377767,LOW,Standard Class,West of USA ,Indoor/Outdoor Games
0,0.8064042,HIGH,Second Class,North Africa,Hockey
0,0.37528524,LOW,Standard Class,Western Europe,Cleats
0,0.33702773,LOW,Standard Class,South Asia,Men's Clothing
1,0.8013363,HIGH,Second Class,West Asia,Camping & Hiking
0,0.34360486,LOW,Standard Class,Oceania,Water Sports
0,0.2605986,LOW,Standard Class,West of USA ,Camping & Hiking
0,0.39507705,LOW,Standard Class,Southern Europe,Cleats
0,0.79842144,HIGH,Second Class,Southeast Asia,Water Sports
1,0.39903083,LOW,Standard Class,Northern Europe,Women's Apparel
1,0.6857553,HIGH,Second Class,Eastern Asia,Men's Footwear
1,0.39606446,LOW,Standard Class,Central America,Men's Footwear
0,0.43877658,LOW,Standard Class,East of USA,Men's Footwear
0,0.32077318,LOW,Standard Class,West of USA ,Golf Gloves
1,0.99065197,HIGH,First Class,Central America,Cardio Equipment
1,0.3989802,LOW,Standard Class,East of USA,Camping & Hiking
0,0.38514906,LOW,Standard Class,South America,Indoor/Outdoor Games
0,0.34483287,LOW,Standard Class,Northern Europe,Water Sports
0,0.39835456,LOW,Standard Class,Western Europe,Shop By Sport
0,0.39670876,LOW,Standard Class,US Center ,Indoor/Outdoor Games
1,0.39561993,LOW,Standard Class,Eastern Asia,Cleats
1,0.36452603,LOW,Standard Class,West Africa,Women's Apparel
0,0.58446217,MEDIUM,Standard Class,Southeast Asia,Camping & Hiking
0,0.8013363,HIGH,Second Class,West of USA ,Camping & Hiking
1,0.48018274,MEDIUM,Same Day,Central America,Camping & Hiking
1,0.31630278,LOW,Standard Class,South America,Men's Footwear
0,0.39489606,LOW,Standard Class,Eastern Asia,Cleats
0,0.2765358,LOW,Standard Class,Western Europe,Cleats
0,0.45780054,MEDIUM,Standard Class,East of USA,Shop By Sport
1,0.3720946,LOW,Standard Class,South America,Indoor/Outdoor Games
0,0.5210088,MEDIUM,Standard Class,West Africa,Shop By Sport
1,0.9837698,HIGH,First Class,West Asia,Fishing
1,0.44058898,LOW,Standard Class,Southeast Asia,Men's Footwear
0,0.38669938,LOW,Standard Class,East of USA,Water Sports
0,0.39453202,LOW,Standard Class,Northern Europe,Cleats
1,0.7971193,HIGH,Second Class,Oceania,Camping & Hiking
1,0.99086714,HIGH,First Class,South America,Cardio Equipment
1,0.99169147,HIGH,First Class,Central America,Cleats
1,0.39377767,LOW,Standard Class,South Asia,Women's Apparel
0,0.2839757,LOW,Standard Class,West Asia,Fishing
0,0.39377767,LOW,Standard Class,West of USA ,Women's Apparel
1,0.8125624,HIGH,First Class,Oceania,Women's Apparel
1,0.9911857,HIGH,First Class,South Asia,Women's Apparel
0,0.802561,HIGH,Second Class,Southeast Asia,Men's Footwear
1,0.79933405,HIGH,Second Class,Western Europe,Fishing
0,0.39561993,LOW,Standard Class,South of  USA ,Women's Apparel
1,0.4987271,MEDIUM,Same Day,Western Europe,Women's Apparel
1,0.39377767,LOW,Standard Class,Central America,Men's Footwear
0,0.46357068,MEDIUM,Same Day,Central America,Water Sports
0,0.66762435,HIGH,Second Class,South America,Electronics
0,0.39422986,LOW,Standard Class,West of USA ,Shop By Sport
0,0.39377767,LOW,Standard Class,US Center ,Men's Footwear
0,0.3667729,LOW,Standard Class,Central America,Camping & Hiking
0,0.39422986,LOW,Standard Class,West of USA ,Girls' Apparel
0,0.34689042,LOW,Standard Class,Northern Europe,Cardio Equipment
0,0.7977832,HIGH,Second Class,Eastern Europe,Indoor/Outdoor Games
0,0.39753383,LOW,Standard Class,South America,Cleats
1,0.844984,HIGH,First Class,Southeast Asia,Golf Balls
0,0.36357653,LOW,Standard Class,North Africa,Water Sports
0,0.39505318,LOW,Standard Class,Oceania,Fishing
1,0.69100463,HIGH,Second Class,Oceania,Garden
1,0.79689556,HIGH,Second Class,West Asia,Camping & Hiking
1,0.34359172,LOW,Standard Class,Eastern Asia,Men's Footwear
0,0.3299933,LOW,Standard Class,East Africa,Shop By Sport
1,0.34725836,LOW,Standard Class,Western Europe,Fishing
0,0.7279395,HIGH,Second Class,Southeast Asia,Girls' Apparel
0,0.6887863,HIGH,Second Class,West Asia,Camping & Hiking
1,0.37078568,LOW,Standard Class,Caribbean,Fishing
1,0.79795384,HIGH,Second Class,Northern Europe,Cardio Equipment
0,0.39489606,LOW,Standard Class,Central America,Cleats
1,0.99177927,HIGH,First Class,Central America,Camping & Hiking
0,0.23654316,LOW,Standard Class,South America,Camping & Hiking
0,0.6908818,HIGH,Second Class,Western Europe,Fishing
1,0.38353425,LOW,Standard Class,Canada,Cardio Equipment
1,0.4220567,LOW,Same Day,Central Asia,Hunting & Shooting
1,0.5312063,MEDIUM,Same Day,Northern Europe,Water Sports
1,0.44250754,LOW,Same Day,Caribbean,Shop By Sport
1,0.9835601,HIGH,First Class,US Center ,Cleats
0,0.34360486,LOW,Standard Class,US Center ,Women's Apparel
1,0.3972526,LOW,Standard Class,Northern Europe,Cleats
0,0.76210177,HIGH,Second Class,South of  USA ,Women's Apparel
1,0.39617282,LOW,Standard Class,Southeast Asia,Fishing
1,0.39377767,LOW,Standard Class,Eastern Asia,Men's Footwear
1,0.990564,HIGH,First Class,South Asia,Shop By Sport
0,0.34116915,LOW,Standard Class,Central America,Indoor/Outdoor Games
0,0.36922112,LOW,Standard Class,South America,Men's Footwear
0,0.39094105,LOW,Standard Class,Western Europe,Men's Footwear
0,0.39422986,LOW,Standard Class,South America,Men's Footwear
1,0.4077896,LOW,Standard Class,Southeast Asia,Toys
0,0.44238612,LOW,Same Day,South America,Indoor/Outdoor Games
0,0.39723867,LOW,Standard Class,Western Europe,Cleats
0,0.40280882,LOW,Standard Class,Central America,Men's Footwear
1,0.79689556,HIGH,Second Class,West Asia,Indoor/Outdoor Games
1,0.3674764,LOW,Standard Class,South America,Water Sports
0,0.39617282,LOW,Standard Class,Caribbean,Fishing
1,0.99114966,HIGH,First Class,West Asia,Fishing
1,0.85970134,HIGH,First Class,West Africa,Women's Apparel
1,0.39851806,LOW,Standard Class,Western Europe,Cardio Equipment
0,0.34702623,LOW,Standard Class,Western Europe,Cleats
1,0.8422812,HIGH,First Class,US Center ,Camping & Hiking
0,0.34360486,LOW,Standard Class,South America,Camping & Hiking
1,0.7943499,HIGH,Second Class,Southern Europe,Cardio Equipment
0,0.34024444,LOW,Standard Class,Southeast Asia,Water Sports
1,0.47853294,MEDIUM,Same Day,Western Europe,Fishing
1,0.8256548,HIGH,Second Class,US Center ,Women's Apparel
0,0.39377767,LOW,Standard Class,Central America,Indoor/Outdoor Games
0,0.3477578,LOW,Standard Class,Central America,Cleats
1,0.7934598,HIGH,Second Class,South Asia,Shop By Sport
1,0.6925115,HIGH,Second Class,Western Europe,Water Sports
0,0.39377767,LOW,Standard Class,Central America,Men's Footwear
1,0.39505318,LOW,Standard Class,West of USA ,Fishing
1,0.39943445,LOW,Standard Class,Southeast Asia,Men's Footwear
0,0.40767187,LOW,Standard Class,Western Europe,Cleats
0,0.65616614,HIGH,Second Class,Western Europe,Men's Footwear
0,0.77821034,HIGH,Second Class,Central America,Men's Footwear
0,0.39505318,LOW,Standard Class,Central America,Cardio Equipment
1,0.990564,HIGH,First Class,Eastern Asia,Women's Apparel
1,0.39377767,LOW,Standard Class,Central America,Camping & Hiking
1,0.37097985,LOW,Standard Class,Central America,Men's Footwear
0,0.396118,LOW,Standard Class,Western Europe,Women's Apparel
0,0.3978669,LOW,Standard Class,Eastern Europe,Accessories
0,0.70256716,HIGH,Second Class,Oceania,Video Games
0,0.328614,LOW,Standard Class,West of USA ,Electronics
1,0.396626,LOW,Standard Class,Southeast Asia,Camping & Hiking
1,0.83972305,HIGH,First Class,Central America,Women's Apparel
0,0.6534731,HIGH,Second Class,South of  USA ,Water Sports
1,0.9897002,HIGH,First Class,South America,Cardio Equipment
0,0.32195356,LOW,Standard Class,Caribbean,Women's Apparel
1,0.7984761,HIGH,Second Class,Western Europe,Water Sports
1,0.79933405,HIGH,Second Class,Western Europe,Fishing
0,0.39377767,LOW,Standard Class,Southeast Asia,Men's Footwear
1,0.99057823,HIGH,First Class,East of USA,Shop By Sport
1,0.39769223,LOW,Standard Class,Western Europe,Cleats
1,0.9906551,HIGH,First Class,Western Europe,Cleats
1,0.5355237,MEDIUM,Same Day,Central America,Girls' Apparel
1,0.99114966,HIGH,First Class,Central America,Fishing
1,0.84233963,HIGH,First Class,South America,Fishing
1,0.99118865,HIGH,First Class,Western Europe,Water Sports
1,0.27648428,LOW,Standard Class,Southern Europe,CDs 
0,0.39505318,LOW,Standard Class,Caribbean,Fishing
1,0.8282163,HIGH,First Class,Central America,Camping & Hiking
0,0.40026143,LOW,Standard Class,US Center ,Fishing
1,0.78822964,HIGH,Second Class,West of USA ,Indoor/Outdoor Games
0,0.33188382,LOW,Standard Class,South America,Shop By Sport
1,0.9911857,HIGH,First Class,Oceania,Music
0,0.39739615,LOW,Standard Class,Western Europe,Cleats
0,0.34702623,LOW,Standard Class,Western Europe,Strength Training
1,0.80556315,HIGH,Second Class,Eastern Asia,Golf Balls
1,0.47118235,MEDIUM,Same Day,Southern Europe,Indoor/Outdoor Games
0,0.36614227,LOW,Standard Class,South America,Golf Balls
0,0.396118,LOW,Standard Class,Western Europe,Cleats
1,0.79999316,HIGH,Second Class,Western Europe,Women's Apparel
0,0.3968975,LOW,Standard Class,South America,Fishing
0,0.33672285,LOW,Standard Class,South America,Men's Footwear
1,0.40479997,LOW,Standard Class,East of USA,Golf Balls
0,0.8358668,HIGH,First Class,Central America,Cleats
1,0.7984761,HIGH,Second Class,Western Europe,Women's Apparel
0,0.39475036,LOW,Same Day,Central America,Indoor/Outdoor Games
1,0.83972305,HIGH,First Class,Eastern Asia,Cleats
1,0.9923469,HIGH,First Class,Central America,Men's Footwear
1,0.79506016,HIGH,Second Class,Western Europe,Men's Footwear
1,0.821657,HIGH,Second Class,Central America,Women's Apparel
0,0.3692833,LOW,Standard Class,Eastern Europe,Cleats
1,0.40232143,LOW,Standard Class,Eastern Asia,Toys
0,0.3409015,LOW,Standard Class,Western Europe,DVDs
0,0.36728382,LOW,Standard Class,Western Europe,Camping & Hiking
0,0.39505318,LOW,Standard Class,Caribbean,Fishing
1,0.39489606,LOW,Standard Class,Southeast Asia,Cleats
0,0.42959526,LOW,Same Day,Western Europe,Camping & Hiking
0,0.33828032,LOW,Standard Class,Oceania,Women's Apparel
1,0.38402632,LOW,Standard Class,Eastern Europe,Indoor/Outdoor Games
0,0.28416818,LOW,Standard Class,Caribbean,Water Sports
0,0.6876404,HIGH,Second Class,Central America,Indoor/Outdoor Games
1,0.4274362,LOW,Standard Class,Southern Europe,Cleats
1,0.39550585,LOW,Standard Class,Central America,Fishing
0,0.43391836,LOW,Standard Class,Southeast Asia,Women's Apparel
1,0.99141145,HIGH,First Class,Northern Europe,Water Sports
1,0.8450731,HIGH,First Class,Western Europe,Cardio Equipment
1,0.39422986,LOW,Standard Class,South Asia,Men's Footwear
1,0.39507705,LOW,Standard Class,Southern Europe,Men's Footwear
1,0.8428682,HIGH,First Class,West Asia,Fishing
1,0.9928718,HIGH,First Class,Northern Europe,Men's Footwear
1,0.6857553,HIGH,Second Class,Central America,Men's Footwear
1,0.35371783,LOW,Standard Class,South America,Cleats
0,0.32386905,LOW,Standard Class,South America,Indoor/Outdoor Games
0,0.34483287,LOW,Standard Class,Northern Europe,Indoor/Outdoor Games
1,0.47690022,MEDIUM,Standard Class,Western Europe,Cleats
0,0.6876404,HIGH,Second Class,Central America,Cleats
0,0.4430449,LOW,Standard Class,East Africa,Golf Gloves
1,0.9907293,HIGH,First Class,North Africa,Fishing
1,0.7985686,HIGH,Second Class,West Africa,Men's Footwear
0,0.6353912,HIGH,Second Class,Southeast Asia,Electronics
0,0.41397193,LOW,Standard Class,Western Europe,Indoor/Outdoor Games
0,0.3968975,LOW,Standard Class,South America,Camping & Hiking
1,0.99177,HIGH,First Class,Central America,Electronics
1,0.3387044,LOW,Standard Class,South of  USA ,Shop By Sport
0,0.32195356,LOW,Standard Class,Caribbean,Cleats
1,0.7773685,HIGH,Second Class,West Africa,Cardio Equipment
1,0.9907464,HIGH,First Class,Oceania,Camping & Hiking
1,0.42111215,LOW,Standard Class,Eastern Europe,Camping & Hiking
0,0.47001565,MEDIUM,Same Day,Southern Europe,Camping & Hiking
1,0.79689556,HIGH,Second Class,Eastern Asia,Indoor/Outdoor Games
1,0.79433346,HIGH,Second Class,Oceania,Fishing
0,0.29091585,LOW,Standard Class,Northern Europe,Fishing
1,0.43033227,LOW,Standard Class,Oceania,Men's Clothing
1,0.39734456,LOW,Standard Class,Central America,Water Sports
1,0.40592873,LOW,Standard Class,Eastern Asia,Fitness Accessories
1,0.9913737,HIGH,First Class,Oceania,Indoor/Outdoor Games
0,0.396118,LOW,Standard Class,Western Europe,Indoor/Outdoor Games
1,0.79842144,HIGH,Second Class,Central America,Cleats
1,0.8500522,HIGH,First Class,West Africa,Men's Footwear
1,0.39737642,LOW,Standard Class,Central America,Shop By Sport
0,0.39657113,LOW,Standard Class,Western Europe,Cleats
1,0.43666005,LOW,Standard Class,Oceania,Cardio Equipment
0,0.39377767,LOW,Standard Class,Central America,Indoor/Outdoor Games
0,0.38123494,LOW,Standard Class,South America,Cardio Equipment
1,0.7986348,HIGH,Second Class,Southern Europe,Cameras 
0,0.39507705,LOW,Standard Class,Southern Europe,Shop By Sport
1,0.35922134,LOW,Standard Class,Western Europe,Water Sports
1,0.99366754,HIGH,First Class,Northern Europe,Indoor/Outdoor Games
1,0.9912402,HIGH,First Class,US Center ,Fishing
1,0.9912924,HIGH,First Class,Central America,Cleats
0,0.34431392,LOW,Standard Class,Caribbean,Camping & Hiking
1,0.7943499,HIGH,Second Class,Southern Europe,Cardio Equipment
0,0.39507705,LOW,Standard Class,Eastern Europe,Men's Footwear
1,0.8013363,HIGH,Second Class,South Asia,Men's Footwear
1,0.82505435,HIGH,First Class,West of USA ,Women's Apparel
1,0.9910664,HIGH,First Class,Western Europe,Cameras 
1,0.8429132,HIGH,First Class,Western Europe,Camping & Hiking
1,0.8408989,HIGH,First Class,Southeast Asia,Women's Apparel
1,0.81706,HIGH,Second Class,Central America,Men's Footwear
1,0.6135848,HIGH,Second Class,Canada,Cardio Equipment
0,0.37437862,LOW,Standard Class,Oceania,Indoor/Outdoor Games
1,0.7807705,HIGH,Second Class,Southern Europe,Men's Footwear
1,0.51534665,MEDIUM,Standard Class,Eastern Asia,Electronics
1,0.39489606,LOW,Standard Class,South Asia,Music
0,0.39422986,LOW,Standard Class,Central America,Shop By Sport
0,0.36907125,LOW,Standard Class,Central America,Women's Apparel
0,0.3526988,LOW,Standard Class,Caribbean,Fishing
0,0.37774298,LOW,Same Day,Northern Europe,DVDs
1,0.4858366,MEDIUM,Same Day,Oceania,Women's Apparel
1,0.39657113,LOW,Standard Class,Western Europe,Women's Apparel
0,0.35269436,LOW,Standard Class,Western Europe,Cleats
0,0.37279114,LOW,Same Day,South of  USA ,Women's Apparel
1,0.7965929,HIGH,Second Class,Northern Europe,Fishing
1,0.8429132,HIGH,First Class,Western Europe,Children's Clothing
1,0.40191534,LOW,Standard Class,Northern Europe,Camping & Hiking
0,0.34805965,LOW,Standard Class,Oceania,Cleats
0,0.39961106,LOW,Standard Class,Oceania,Men's Footwear
1,0.37195966,LOW,Standard Class,Caribbean,Water Sports
1,0.9911857,HIGH,First Class,South Asia,Indoor/Outdoor Games
1,0.79689556,HIGH,Second Class,US Center ,Women's Apparel
1,0.80743015,HIGH,Second Class,Caribbean,Cleats
0,0.34761965,LOW,Standard Class,Eastern Europe,Fishing
1,0.39377767,LOW,Standard Class,Central America,Cleats
0,0.39422986,LOW,Standard Class,Southern Africa,Indoor/Outdoor Games
0,0.39739615,LOW,Standard Class,Western Europe,Fishing
0,0.31582865,LOW,Standard Class,South America,Men's Footwear
0,0.553951,MEDIUM,Same Day,Central America,Cleats
0,0.39377767,LOW,Standard Class,Central America,Cleats
1,0.4512572,MEDIUM,Standard Class,Western Europe,Men's Footwear
0,0.34103072,LOW,Standard Class,East of USA,Indoor/Outdoor Games
0,0.79506016,HIGH,Second Class,Western Europe,Men's Footwear
0,0.79842144,HIGH,Second Class,Caribbean,Indoor/Outdoor Games
1,0.9913373,HIGH,First Class,Western Europe,Women's Apparel
1,0.5304251,MEDIUM,Second Class,US Center ,Fishing
1,0.9911027,HIGH,First Class,South America,Water Sports
0,0.7985686,HIGH,Second Class,Central America,Water Sports
1,0.8013363,HIGH,Second Class,South America,Indoor/Outdoor Games
0,0.40096167,LOW,Same Day,West Asia,Cardio Equipment
1,0.990311,HIGH,First Class,Western Europe,Men's Footwear
1,0.99014205,HIGH,First Class,East of USA,Cleats
1,0.9837714,HIGH,First Class,Northern Europe,Indoor/Outdoor Games
0,0.7746776,HIGH,Second Class,Western Europe,Cleats
1,0.7992796,HIGH,Second Class,West of USA ,Camping & Hiking
0,0.401331,LOW,Standard Class,Western Europe,Cleats
1,0.79842144,HIGH,Second Class,West Africa,Cardio Equipment
1,0.40614113,LOW,Standard Class,Eastern Asia,Fishing
0,0.39747494,LOW,Standard Class,Northern Europe,Fishing
1,0.33140627,LOW,Standard Class,Western Europe,Strength Training
1,0.99225664,HIGH,First Class,East Africa,Women's Apparel
0,0.39860094,LOW,Standard Class,Western Europe,Water Sports
1,0.90159893,HIGH,First Class,Western Europe,Women's Apparel
0,0.40010363,LOW,Standard Class,South Asia,Indoor/Outdoor Games
0,0.396118,LOW,Standard Class,Western Europe,Indoor/Outdoor Games
0,0.32942793,LOW,Standard Class,West of USA ,Shop By Sport
1,0.34240252,LOW,Standard Class,Central America,Men's Footwear
0,0.39505318,LOW,Standard Class,Central America,Cardio Equipment
0,0.39625555,LOW,Standard Class,East of USA,Shop By Sport
0,0.6896675,HIGH,Second Class,Central America,Camping & Hiking
0,0.4019366,LOW,Standard Class,Western Europe,Books 
1,0.69221914,HIGH,Second Class,Central America,Golf Balls
1,0.9903951,HIGH,First Class,West of USA ,Men's Footwear
1,0.34818754,LOW,Standard Class,Central America,Shop By Sport
0,0.39377767,LOW,Standard Class,East of USA,Water Sports
1,0.39159468,LOW,Standard Class,Central America,Women's Apparel
1,0.8018984,HIGH,Second Class,East of USA,Women's Apparel
1,0.3431093,LOW,Standard Class,Caribbean,Men's Footwear
1,0.9914619,HIGH,First Class,South America,Water Sports
0,0.30898103,LOW,Standard Class,Western Europe,Electronics
0,0.38919938,LOW,Standard Class,Northern Europe,Computers
1,0.9837123,HIGH,First Class,Eastern Asia,Cleats
0,0.7904232,HIGH,Second Class,Central America,Shop By Sport
0,0.28261095,LOW,Standard Class,Northern Europe,Camping & Hiking
0,0.38781017,LOW,Standard Class,North Africa,Water Sports
1,0.39617282,LOW,Standard Class,South Asia,Fishing
1,0.8311028,HIGH,First Class,West of USA ,Cardio Equipment
1,0.41788843,LOW,Standard Class,North Africa,Cardio Equipment
0,0.43519455,LOW,Same Day,Oceania,Health and Beauty
1,0.81990004,HIGH,Second Class,East of USA,Men's Footwear
0,0.5531862,MEDIUM,Same Day,North Africa,Fishing
0,0.39377767,LOW,Standard Class,South America,Men's Footwear
1,0.69464296,HIGH,Second Class,South America,Shop By Sport
1,0.4077896,LOW,Standard Class,Southeast Asia,Toys
1,0.4747577,MEDIUM,Same Day,Central America,Women's Apparel
0,0.31362435,LOW,Standard Class,South America,Golf Balls
1,0.4169978,LOW,Standard Class,Western Europe,Camping & Hiking
0,0.39489606,LOW,Standard Class,Oceania,Camping & Hiking
0,0.82533675,HIGH,Second Class,Oceania,CDs 
0,0.31700876,LOW,Standard Class,Central America,Women's Apparel
0,0.84322685,HIGH,First Class,Western Europe,Women's Apparel
0,0.40055826,LOW,Standard Class,South America,Cleats
1,0.39291647,LOW,Standard Class,South America,Indoor/Outdoor Games
1,0.40456155,LOW,Standard Class,East of USA,Cardio Equipment
1,0.9909162,HIGH,First Class,Southern Europe,Men's Footwear
1,0.8331672,HIGH,First Class,Central America,Women's Apparel
0,0.39625555,LOW,Standard Class,Central America,Water Sports
1,0.98079085,HIGH,First Class,Oceania,Music
0,0.39784977,LOW,Standard Class,Western Europe,Children's Clothing
1,0.68988824,HIGH,Second Class,Western Europe,Cleats
1,0.49816084,MEDIUM,Standard Class,West Africa,Fishing
1,0.68988824,HIGH,Second Class,Western Europe,Men's Footwear
0,0.33868054,LOW,Standard Class,Central America,Electronics
1,0.3618355,LOW,Standard Class,Southeast Asia,Cardio Equipment
0,0.39737642,LOW,Standard Class,Central America,Men's Footwear
1,0.34918302,LOW,Standard Class,Central America,Men's Footwear
0,0.7984761,HIGH,Second Class,Western Europe,Golf Shoes
1,0.39943445,LOW,Standard Class,Southeast Asia,Sporting Goods
1,0.3989802,LOW,Standard Class,South America,Cleats
1,0.42926222,LOW,Standard Class,South America,Indoor/Outdoor Games
0,0.40028545,LOW,Standard Class,Southern Europe,Women's Apparel
1,0.99114966,HIGH,First Class,Central America,Cardio Equipment
1,0.80873424,HIGH,Second Class,Central America,Cleats
1,0.34745547,LOW,Standard Class,Western Europe,Fishing
1,0.8416254,HIGH,First Class,Southern Europe,Water Sports
0,0.3554745,LOW,Standard Class,South Asia,Women's Apparel
1,0.5286503,MEDIUM,Standard Class,Central America,Indoor/Outdoor Games
1,0.85406154,HIGH,First Class,Central America,Water Sports
